year,category,nominee,workers,winner
1959,Album of the Year,The Music from Peter Gunn.,Henry Mancini,True
1959,Best Album Cover,Only the Lonely,Frank Sinatra (art director),True
1959,Best Arrangement,The Music From Peter Gunn,Henry Mancini (artist/arranger),True
1959,Best Classical Performance - Chamber Music (including Chamber Orchestra),Beethoven: Quartet 130,"The Hollywood String Quartet, Paul Shure (artist), Alvin Dinkin (artist), Eleanor Slatkin (artist) (as Eleanor Aller Slatkin), Felix Slatkin (artist)",True
1959,Best Classical Performance - Instrumentalist (other than Concerto Scale Accompaniment),Segovia Golden Jubilee,Andrés Segovia,True
1959,Best Classical Performance - Instrumentalist (other than concerto-scale accompaniment),Segovia Golden Jubilee,Andrés Segovia (artist),True
1959,Best Classical Performance - Instrumentalist (with Concerto Scale Accompaniment),"Tchaikovsky: Piano Concerto No. 1 In B Flat Minor, Op. 23",Van Cliburn (piano) (artist),True
1959,Best Classical Performance - Operatic or Choral,Virtuoso,Robert Wagner (choir director),True
1959,Best Classical Performance - Orchestra,Gaiete Parisienne,Felix Slatkin (conductor) (artist),True
1959,Best Classical Performance - Vocal Soloist (with or without Orchestra),Operatic Recital,Renata Tebaldi (soprano) (artist),True
1959,Best Comedy Performance,The Chipmunk Song,Ross Bagdasarian (artist),True
1959,Best Country & Western Performance,Tom Dooley,The Kingston Trio (artist),True
1959,Best Country and Western Performance,Tom Dooley.,The Kingston Trio,True
1959,Best Engineered Record (Classical),Duets with a Spanish Guitar,"Laurindo Almeida, Salli Terri, Sherwood Hall III",True
1959,Best Engineered Record - Non-Classical,The Chipmunk Song,"Ross Bagdasarian (as David Seville), Ted Keep (engineer) (as Theodore Keep)",True
1959,Best Instrumental Arrangement,The Music from Peter Gunn.,Henry Mancini,True
1959,Best Instrumental Composition,Cross Country Suite.,Nelson Riddle,True
1959,"Best Jazz Performance, Group",Basie.,Count Basie,True
1959,"Best Jazz Performance, Individual",Ella Fitzgerald Sings the Duke Ellington Songbook.,Ella Fitzgerald,True
1959,Best Musical Composition First Recorded and Released in 1958 (over 5 minutes duration),Cross Country Suite,Nelson Riddle (artist/composer),True
1959,Best Original Cast Album (Broadway or TV),The Music Man,"Robert Preston, Barbara Cook, David Burns, Eddie Hodges, Pert Kelton, Helen Raymond, Meredith Willson (composer)",True
1959,Best Performance by a Dance Band,Basie,Count Basie (artist),True
1959,Best Performance by a Vocal Group or Chorus,That Old Black Magic,"Keely Smith, Louis Prima",True
1959,Best Performance by an Orchestra - for Other Than Dancing,Billy May's Big Fat Brass,Billy May,True
